2010 Census Code,2010 Census Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
53-6099,"Roustabouts, oil and gas",47-5071.00,"Roustabouts, Oil and Gas"
53-6099,Helpers—extraction workers,47-5081.00,Helpers--Extraction Workers
53-6099,"First-line supervisors of mechanics, installers, and repairers",49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
53-6099,"Computer, automated teller, and office machine repairers",49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
53-6099,Radio and telecommunications equipment installers and repairers,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
53-6099,Avionics technicians,49-2091.00,Avionics Technicians
53-6099,"Electric motor, power tool, and related repairers",49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
53-6099,"Electrical and electronics installers and repairers, transportation equipment",49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
53-6099,"Electronic equipment installers and repairers, motor vehicles",49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
53-6099,Electronic home entertainment equipment installers and repairers,49-2097.00,Audiovisual Equipment Installers and Repairers
53-6099,Security and fire alarm systems installers,49-2098.00,Security and Fire Alarm Systems Installers
53-6099,Aircraft mechanics and service technicians,49-3011.00,Aircraft Mechanics and Service Technicians
53-6099,Automotive body and related repairers,49-3021.00,Automotive Body and Related Repairers
53-6099,Automotive glass installers and repairers,49-3022.00,Automotive Glass Installers and Repairers
53-6099,Automotive service technicians and mechanics,49-3023.00,Automotive Service Technicians and Mechanics
53-6099,Bus and truck mechanics and diesel engine specialists,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
53-6099,Heavy vehicle and mobile equipment service technicians and mechanics,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
53-6099,Small engine mechanics,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
53-6099,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3093.00,Tire Repairers and Changers
53-6099,Control and valve installers and repairers,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
53-6099,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
53-6099,Home appliance repairers,49-9031.00,Home Appliance Repairers
53-6099,"Maintenance and repair workers, general",49-9071.00,"Maintenance and Repair Workers, General"
53-6099,"Maintenance workers, machinery",49-9043.00,"Maintenance Workers, Machinery"
53-6099,Millwrights,49-9044.00,Millwrights
53-6099,Electrical power-line installers and repairers,49-9051.00,Electrical Power-Line Installers and Repairers
53-6099,Telecommunications line installers and repairers,49-9052.00,Telecommunications Line Installers and Repairers
53-6099,Precision instrument and equipment repairers,49-9062.00,Medical Equipment Repairers
53-6099,Wind turbine service technicians,49-9081.00,Wind Turbine Service Technicians
53-6099,"Coin, vending, and amusement machine servicers and repairers",49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
53-6099,Commercial divers,49-9092.00,Commercial Divers
53-6099,Locksmiths and safe repairers,49-9094.00,Locksmiths and Safe Repairers
53-6099,Manufactured building and mobile home installers,49-9095.00,Manufactured Building and Mobile Home Installers
53-6099,Riggers,49-9096.00,Riggers
53-6099,Signal and track switch repairers,49-9097.00,Signal and Track Switch Repairers
53-6099,"Helpers—installation, maintenance, and repair workers",49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
53-6099,First-line supervisors of production and operating workers,51-1011.00,First-Line Supervisors of Production and Operating Workers
53-6099,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
53-6099,"Electrical, electronics, and electromechanical assemblers",51-2022.00,Electrical and Electronic Equipment Assemblers
53-6099,Engine and other machine assemblers,51-2031.00,Engine and Other Machine Assemblers
53-6099,Structural metal fabricators and fitters,51-2041.00,Structural Metal Fabricators and Fitters
53-6099,Miscellaneous assemblers and fabricators,51-2092.00,Team Assemblers
53-6099,Bakers,51-3011.00,Bakers
53-6099,"Butchers and other meat, poultry, and fish processing workers",51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
53-6099,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
53-6099,Food batchmakers,51-3092.00,Food Batchmakers
53-6099,Food cooking machine operators and tenders,51-3093.00,Food Cooking Machine Operators and Tenders
53-6099,"Food processing workers, all other",51-3099.00,"Food Processing Workers, All Other"
53-6099,Computer control programmers and operators,51-9161.00,Computer Numerically Controlled Tool Operators
53-6099,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Forging machine setters, operators, and tenders, metal and plastic",51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Rolling machine setters, operators, and tenders, metal and plastic",51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,Machinists,51-4041.00,Machinists
53-6099,"Metal furnace operators, tenders, pourers, and casters",51-4051.00,Metal-Refining Furnace Operators and Tenders
53-6099,"Model makers and patternmakers, metal and plastic",51-4061.00,"Model Makers, Metal and Plastic"
53-6099,"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
53-6099,Tool and die makers,51-4111.00,Tool and Die Makers
53-6099,"Welding, soldering, and brazing workers",51-4121.00,"Welders, Cutters, Solderers, and Brazers"
53-6099,"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Layout workers, metal and plastic",51-4192.00,"Layout Workers, Metal and Plastic"
53-6099,"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
53-6099,"Tool grinders, filers, and sharpeners",51-4194.00,"Tool Grinders, Filers, and Sharpeners"
53-6099,"Metal workers and plastic workers, all other",51-4199.00,"Metal Workers and Plastic Workers, All Other"
53-6099,Prepress technicians and workers,51-5111.00,Prepress Technicians and Workers
53-6099,Printing press operators,51-5112.00,Printing Press Operators
53-6099,Print binding and finishing workers,51-5113.00,Print Binding and Finishing Workers
53-6099,Laundry and dry-cleaning workers,51-6011.00,Laundry and Dry-Cleaning Workers
53-6099,"Pressers, textile, garment, and related materials",51-6021.00,"Pressers, Textile, Garment, and Related Materials"
53-6099,Sewing machine operators,51-6031.00,Sewing Machine Operators
53-6099,Shoe and leather workers and repairers,51-6041.00,Shoe and Leather Workers and Repairers
53-6099,Shoe machine operators and tenders,51-6042.00,Shoe Machine Operators and Tenders
53-6099,"Tailors, dressmakers, and sewers",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
53-6099,Textile bleaching and dyeing machine operators and tenders,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
53-6099,"Textile cutting machine setters, operators, and tenders",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
53-6099,"Textile knitting and weaving machine setters, operators, and tenders",51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
53-6099,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
53-6099,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
53-6099,Fabric and apparel patternmakers,51-6092.00,Fabric and Apparel Patternmakers
53-6099,Upholsterers,51-6093.00,Upholsterers
53-6099,"Textile, apparel, and furnishings workers, all other",51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
53-6099,Cabinetmakers and bench carpenters,51-7011.00,Cabinetmakers and Bench Carpenters
53-6099,Furniture finishers,51-7021.00,Furniture Finishers
53-6099,"Model makers and patternmakers, wood",51-7031.00,"Model Makers, Wood"
53-6099,"Sawing machine setters, operators, and tenders, wood",51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
53-6099,"Woodworking machine setters, operators, and tenders, except sawing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
53-6099,"Woodworkers, all other",51-7099.00,"Woodworkers, All Other"
53-6099,"Power plant operators, distributors, and dispatchers",51-8013.00,Power Plant Operators
53-6099,Stationary engineers and boiler operators,51-8021.00,Stationary Engineers and Boiler Operators
53-6099,Water and wastewater treatment plant and system operators,51-8031.00,Water and Wastewater Treatment Plant and System Operators
53-6099,Miscellaneous plant and system operators,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
53-6099,"Chemical processing machine setters, operators, and tenders",51-9011.00,Chemical Equipment Operators and Tenders
53-6099,"Crushing, grinding, polishing, mixing, and blending workers",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
53-6099,Cutting workers,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
53-6099,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
53-6099,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
53-6099,"Inspectors, testers, sorters, samplers, and weighers",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
53-6099,Jewelers and precious stone and metal workers,51-9071.00,Jewelers and Precious Stone and Metal Workers
53-6099,"Medical, dental, and ophthalmic laboratory technicians",51-9081.00,Dental Laboratory Technicians
53-6099,Packaging and filling machine operators and tenders,51-9111.00,Packaging and Filling Machine Operators and Tenders
53-6099,Painting workers,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
53-6099,Photographic process workers and processing machine operators,51-9151.00,Photographic Process Workers and Processing Machine Operators
53-6099,Semiconductor processors,51-9141.00,Semiconductor Processing Technicians
53-6099,Adhesive bonding machine operators and tenders,51-9191.00,Adhesive Bonding Machine Operators and Tenders
53-6099,"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
53-6099,Cooling and freezing equipment operators and tenders,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
53-6099,Etchers and engravers,51-9194.00,Etchers and Engravers
53-6099,"Molders, shapers, and casters, except metal and plastic",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
53-6099,"Paper goods machine setters, operators, and tenders",51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
53-6099,Tire builders,51-9197.00,Tire Builders
53-6099,Helpers—production workers,51-9198.00,Helpers--Production Workers
53-6099,"Production workers, all other",51-9199.00,"Production Workers, All Other"
53-6099,Supervisors of transportation and material moving workers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
53-6099,Aircraft pilots and flight engineers,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
53-6099,Air traffic controllers and airfield operations specialists,53-2021.00,Air Traffic Controllers
53-6099,Flight attendants,53-2031.00,Flight Attendants
53-6099,"Ambulance drivers and attendants, except emergency medical technicians",53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-6099,Bus drivers,53-3051.00,"Bus Drivers, School"
53-6099,Driver/sales workers and truck drivers,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
53-6099,Taxi drivers and chauffeurs,53-3053.00,Shuttle Drivers and Chauffeurs
53-6099,"Motor vehicle operators, all other",53-3099.00,"Motor Vehicle Operators, All Other"
53-6099,Locomotive engineers and operators,53-4011.00,Locomotive Engineers
53-6099,"Railroad brake, signal, and switch operators",53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
53-6099,Railroad conductors and yardmasters,53-4031.00,Railroad Conductors and Yardmasters
53-6099,Sailors and marine oilers,53-5011.00,Sailors and Marine Oilers
53-6099,Ship and boat captains and operators,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
53-6099,Ship engineers,53-5031.00,Ship Engineers
53-6099,Bridge and lock tenders,53-6011.00,Bridge and Lock Tenders
53-6099,Parking lot attendants,53-6021.00,Parking Attendants
53-6099,Automotive and watercraft service attendants,53-6031.00,Automotive and Watercraft Service Attendants
53-6099,Transportation inspectors,53-6051.00,Transportation Inspectors
53-6099,"Transportation attendants, except flight attendants",53-6061.00,Passenger Attendants
53-6099,Conveyor operators and tenders,53-7011.00,Conveyor Operators and Tenders
53-6099,Crane and tower operators,53-7021.00,Crane and Tower Operators
53-6099,"Dredge, excavating, and loading machine operators",47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
53-6099,Hoist and winch operators,53-7041.00,Hoist and Winch Operators
53-6099,Industrial truck and tractor operators,53-7051.00,Industrial Truck and Tractor Operators
53-6099,Cleaners of vehicles and equipment,53-7061.00,Cleaners of Vehicles and Equipment
53-6099,"Laborers and freight, stock, and material movers, hand",53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
53-6099,Machine feeders and offbearers,53-7063.00,Machine Feeders and Offbearers
53-6099,"Packers and packagers, hand",53-7064.00,"Packers and Packagers, Hand"
53-6099,Pumping station operators,53-7073.00,Wellhead Pumpers
53-6099,Refuse and recyclable material collectors,53-7081.00,Refuse and Recyclable Material Collectors
53-6099,Mine shuttle car operators,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
53-6099,"Tank car, truck, and ship loaders",53-7121.00,"Tank Car, Truck, and Ship Loaders"
53-6099,"Material moving workers, all other",53-7199.00,"Material Moving Workers, All Other"
53-6099,"Software developers, applications and systems software",15-1252.00,Software Developers
53-6099,"Miscellaneous community and social service specialists, including health educators and community health workers",21-1099.00,"Community and Social Service Specialists, All Other"
53-6099,"Other education, training, and library workers",25-9031.00,Instructional Coordinators
53-6099,"Miscellaneous healthcare support occupations, including medical equipment preparers",31-9099.00,"Healthcare Support Workers, All Other"
53-6099,"Lifeguards and other recreational, and all other protective service workers",33-9099.00,"Protective Service Workers, All Other"
53-6099,Janitors and building cleaners,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
53-6099,Embalmers and funeral attendants,39-4021.00,Funeral Attendants
53-6099,Other extraction workers,47-5099.00,"Extraction Workers, All Other"
53-6099,"Electrical and electronics repairers, industrial and utility",49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
53-6099,Industrial and refractory machinery mechanics,49-9041.00,Industrial Machinery Mechanics
53-6099,"Other installation, maintenance, and repair workers",49-9099.00,"Installation, Maintenance, and Repair Workers, All Other"
53-6099,"Subway, streetcar, and other rail transportation workers",53-4041.00,Subway and Streetcar Operators
53-6099,Other transportation workers,53-6099.00,"Transportation Workers, All Other"
